"","Description","T.delbrueckii.Anc","Z.rouxii.Anc","S.cerevisiae.A","S.bayanusvar.uvarum.A","S.mikatae.A","S.kudriavzevii.A","C.glabrata.B","N.castellii.A","N.castellii.B","V.polyspora.A","V.polyspora.B","K.africana.A","K.africana.B","T.blattae.A","T.blattae.B","N.dairenensis.A","N.dairenensis.B","K.naganishii.A","K.naganishii.B","T.phaffii.A","T.phaffii.B"
"43","polysome",1,1,0.0319028225550038,1,0.0446491867116238,0.0281031039298936,0.0199382302564825,1,0.0388008376579295,1,1,1,0.0240530426856253,0.00357307828201295,1,0.00725186373345997,1,0.0208397947066845,1,1,1
"44","proton-transporting V-type ATPase complex",1,1,1,0.0236617314253102,1,1,1,1,0.011313307067113,0.0230265172593311,1,1,0.046354508243538,1,1,1,0.0296025715536112,1,1,1,1
"45","proton-transporting two-sector ATPase complex",1,1,1,1,1,1,1,1,0.0393972621331232,1,1,1,1,1,1,1,1,1,1,1,1
"46","ribonucleoprotein granule",1,1,1,1,0.0258843745110102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47","septin cytoskeleton",0.0433577205436234,1,1,1,1,1,1,1,1,1,1,0.011672460729588,1,1,1,1,1,1,1,1,1
"48","septin ring",1,1,1,1,1,1,1,1,1,1,1,0.0343510522723832,1,1,1,1,1,1,1,1,1
"49","side of membrane",1,1,0.0310467767295481,1,0.0446491867116238,0.0257756142507173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50","site of polarized growth",2.92509984669967e-06,0.0002406361989782,0.0250827422938488,9.20925652968865e-05,0.0446491867116238,0.00350929539061215,1,1,0.00691292178881269,5.274009072445e-05,1,1.69674309246271e-07,0.000143367383679117,1,1.04654857500153e-05,1,0.00489184009674161,0.000112549339251586,4.64111322634637e-05,6.70493370276386e-06,1
"51","spliceosomal tri-snRNP complex",1,1,1,1,0.0467152881685388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"52","transport vesicle membrane",1,1,1,1,0.0409341739112399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53","vacuolar proton-transporting V-type ATPase complex",1,1,1,0.0236617314253102,1,1,1,1,0.011313307067113,0.0230265172593311,1,1,0.046354508243538,1,1,1,0.0296025715536112,1,1,1,1
"54","vesicle",0.00332982043338254,1,0.0319028225550038,1,1,0.0257756142507173,0.0208801101281291,1,1,1,1,1,0.0477553397989562,1,0.0306206921275322,1,1,0.0124137188629921,0.0277979632932766,1,1
"55","vesicle coat",0.0456037099036481,1,1,1,0.0446491867116238,1,1,1,1,1,1,1,0.0240530426856253,1,0.0437585214727778,1,0.0157275006534333,1,0.0423900705381618,0.0409076283359907,1
"56","vesicle membrane",0.00977204815645254,1,1,0.0192245903490085,1,1,1,1,1,1,1,1,0.0240530426856253,1,1,1,0.0137856853065206,0.0498447740016382,1,0.0149516351982948,1
"57","vesicle tethering complex",0.0214828259542038,1,1,1,1,1,0.0208801101281291,1,0.000574883868006632,1,1,1,1,1,1,1,0.00432625888240237,1,1,1,1
