"","Description","Ortholog","Adjusted.Pval"
"1","COPI-coated vesicle","T.delbrueckii.Anc",1
"2","COPI-coated vesicle membrane","T.delbrueckii.Anc",0.0456037099036481
"3","Golgi apparatus","T.delbrueckii.Anc",1
"4","Golgi membrane","T.delbrueckii.Anc",0.00977204815645254
"5","Golgi-associated vesicle","T.delbrueckii.Anc",1
"6","Golgi-associated vesicle membrane","T.delbrueckii.Anc",0.0137655442297894
"7","P-body","T.delbrueckii.Anc",0.0329396525978098
"8","U4/U6 x U5 tri-snRNP complex","T.delbrueckii.Anc",1
"9","U6 snRNP","T.delbrueckii.Anc",0.0425311171181588
"10","actin cortical patch","T.delbrueckii.Anc",1.4911928462642e-12
"11","actin cytoskeleton","T.delbrueckii.Anc",1.46529678508214e-12
"12","actin filament","T.delbrueckii.Anc",0.0456037099036481
"13","cell cortex","T.delbrueckii.Anc",1.35206531854269e-11
"14","cell division site","T.delbrueckii.Anc",0.0415717777743933
"15","cell pole","T.delbrueckii.Anc",6.97883303058637e-09
"16","cell projection","T.delbrueckii.Anc",7.00553860825451e-09
"17","cell tip","T.delbrueckii.Anc",6.97883303058637e-09
"18","cellular bud","T.delbrueckii.Anc",0.000129836316105082
"19","cellular bud neck","T.delbrueckii.Anc",0.00476953881583112
"20","cellular bud neck septin ring","T.delbrueckii.Anc",1
"21","cellular bud neck septin structure","T.delbrueckii.Anc",0.0232737484099748
"22","clathrin-coated vesicle","T.delbrueckii.Anc",1
"23","cleavage apparatus septin structure","T.delbrueckii.Anc",0.0232737484099748
"24","coated membrane","T.delbrueckii.Anc",1
"25","coated vesicle","T.delbrueckii.Anc",1
"26","coated vesicle membrane","T.delbrueckii.Anc",1
"27","cortical actin cytoskeleton","T.delbrueckii.Anc",1.4911928462642e-12
"28","cortical cytoskeleton","T.delbrueckii.Anc",2.29908017249357e-12
"29","cytoplasmic ribonucleoprotein granule","T.delbrueckii.Anc",1
"30","cytoplasmic side of membrane","T.delbrueckii.Anc",1
"31","cytoplasmic vesicle","T.delbrueckii.Anc",0.0215162763572257
"32","cytoplasmic vesicle membrane","T.delbrueckii.Anc",0.00977204815645254
"33","cytoskeleton","T.delbrueckii.Anc",3.18337758169842e-08
"34","endocytic patch","T.delbrueckii.Anc",2.24852633868928e-13
"35","intracellular vesicle","T.delbrueckii.Anc",0.0215162763572257
"36","mating projection","T.delbrueckii.Anc",3.29365551362015e-08
"37","mating projection tip","T.delbrueckii.Anc",1.29721933831052e-08
"38","membrane coat","T.delbrueckii.Anc",1
"39","membrane microdomain","T.delbrueckii.Anc",0.00234178358918356
"40","membrane raft","T.delbrueckii.Anc",0.00234178358918356
"41","plasma membrane bounded cell projection","T.delbrueckii.Anc",6.42828851001765e-09
"42","plasma membrane protein complex","T.delbrueckii.Anc",1
"43","polysome","T.delbrueckii.Anc",1
