Gene,ORF,c1536,r1536
YOR165W,SEY1,9,21
YMR149W,SWP1,9,23
YIL027C,EMC5,9,25
YEL002C,WBP1,9,27
YPL227C,ALG5,9,29
Border,Border,9,31
Border,Border,11,1
YPR113W,PIS1,11,3
YIL124W,AYR1,11,5
YAR002C-A,ERP1,11,7
YGR284C,ERV29,11,9
YHR039C,MSC7,11,11
YGR060W,ERG25,11,13
YDL192W,ARF1,11,15
YMR015C,ERG5,11,17
YMR123W,PKR1,11,19
YML012W,ERV25,11,21
YMR292W,GOT1,11,23
YOR016C,ERP4,11,25
YDR297W,SUR2,11,27
YBR283C,SSH1,11,29
Border,Border,11,31
Border,Border,13,1
YIR038C,GTT1,13,3
YOR054C,VHS3,13,5
YLR347C,KAP95,13,7
YDR100W,TVP15,13,9
YEL013W,VAC8,13,11
YAR042W,SWH1,13,13
YKL173W,SNU114,13,15
YBL007C,SLA1,13,17
YBR234C,ARC40,13,19
YGL206C,CHC1,13,21
YNL243W,SLA2,13,23
YNL084C,END3,13,25
YFR024C-A,LSB3,13,27
YBR002C,RER2,13,29
Border,Border,13,31
Border,Border,15,1
YMR010W,YMR010W,15,3
YOL129W,VPS68,15,5
YOR069W,VPS5,15,7
YJR125C,ENT3,15,9
YBR207W,FTH1,15,11
YHR108W,GGA2,15,13
YJL178C,ATG27,15,15
YJL053W,PEP8,15,17
YBL017C,PEP1,15,19
YJL154C,VPS35,15,21
YPL117C,IDI1,15,23
YDL085W,NDE2,15,25
YCR093W,CDC39,15,27
YNL016W,PUB1,15,29
Border,Border,15,31
Border,Border,17,1
YER112W,LSM4,17,3
YKL172W,EBP2,17,5
YLL028W,TPO1,17,7
YIR037W,HYR1,17,9
YIL121W,QDR2,17,11
YHR096C,HXT5,17,13
YGL056C,SDS23,17,15
YML072C,TCB3,17,17
YCR021C,HSP30,17,19
YBL033C,RIB1,17,21
YOL069W,NUF2,17,23
YLR027C,AAT2,17,25
YGL137W,SEC27,17,27
YPL129W,TAF14,17,29
Border,Border,17,31
Border,Border,19,1
YGR130C,YGR130C,19,3
YPL058C,PDR12,19,5
YBR052C,RFS1,19,7
YJL174W,KRE9,19,9
YDL165W,CDC36,19,11
YDR071C,PAA1,19,13
YGR205W,TDA10,19,15
YKL181W,PRS1,19,17
YER099C,PRS2,19,19
YGR200C,ELP2,19,21
YLR079W,SIC1,19,23
YPL086C,ELP3,19,25
YFL048C,EMP47,19,27
YFL041W,FET5,19,29
Border,Border,19,31
Border,Border,21,1
YBR241C,YBR241C,21,3
YGL006W,PMC1,21,5
YML018C,YML018C,21,7
YCR043C,YCR043C,21,9
YIL048W,NEO1,21,11
YPL246C,RBD2,21,13
YFR051C,RET2,21,15
YDR264C,AKR1,21,17
YBL102W,SFT2,21,19
YJL151C,SNA3,21,21
YKR067W,GPT2,21,23
YBR177C,EHT1,21,25
YHR072W,ERG7,21,27
YDL052C,SLC1,21,29
Border,Border,21,31
Border,Border,23,1
YBR041W,FAT1,23,3
YKL140W,TGL1,23,5
YBR006W,UGA2,23,7
YOR089C,VPS21,23,9
YNL031C,HHT2,23,11
YNL030W,HHF2,23,13
YLL022C,HIF1,23,15
YJL115W,ASF1,23,17
YLR449W,FPR4,23,19
YGL120C,PRP43,23,21
YNL238W,KEX2,23,23
YPL221W,FLC1,23,25
YHR142W,CHS7,23,27
YBR180W,DTR1,23,29
Border,Border,23,31
Border,Border,25,1
YDL212W,SHR3,25,3
YLL012W,YEH1,25,5
YKL094W,YJU3,25,7
YLR100W,ERG27,25,9
YLR144C,ACF2,25,11
YPL145C,KES1,25,13
YER009W,NTF2,25,15
YLL034C,RIX7,25,17
YDR039C,ENA2,25,19
YIL070C,MAM33,25,21
YGR065C,VHT1,25,23
YGR281W,YOR1,25,25
YHR094C,HXT1,25,27
YIL105C,SLM1,25,29
Border,Border,25,31
Border,Border,27,1
YPR138C,MEP3,27,3
YGR138C,TPO2,27,5
YBR244W,GPX2,27,7
YBR132C,AGP2,27,9
YNL339C,YRF1-6,27,11
YDR098C,GRX3,27,13
YBR057C,MUM2,27,15
YPL265W,DIP5,27,17
YJL192C,SOP4,27,19
YPL010W,RET3,27,21
YGR036C,CAX4,27,23
YML121W,GTR1,27,25
YKR007W,MEH1,27,27
YFL053W,DAK2,27,29
Border,Border,27,31
Border,Border,29,1
YDR325W,YCG1,29,3
YLR166C,SEC10,29,5
YBR102C,EXO84,29,7
YPR055W,SEC8,29,9
YGR054W,YGR054W,29,11
YNL336W,COS1,29,13
YKL088W,CAB3,29,15
YER056C,FCY2,29,17
YKL008C,LAC1,29,19
YGL055W,OLE1,29,21
YPR156C,TPO3,29,23
YML055W,SPC2,29,25
YFL062W,COS4,29,27
YPL094C,SEC62,29,29
Border,Border,29,31
Border,Border,31,1
YJR118C,ILM1,31,3
YJR117W,STE24,31,5
YJR152W,DAL5,31,7
YOL138C,RTC1,31,9
YOR296W,YOR296W,31,11
YCR084C,TUP1,31,13
YLR066W,SPC3,31,15
YIL138C,TPM2,31,17
YPR133C,SPN1,31,19
YPR086W,SUA7,31,21
YLR223C,IFH1,31,23
YOR151C,RPB2,31,25
YLR200W,YKE2,31,27
YML126C,ERG13,31,29
Border,Border,31,31
Border,Border,33,1
YPR052C,NHP6A,33,3
YHR089C,GAR1,33,5
YGL207W,SPT16,33,7
YPR010C,RPA135,33,9
YGR187C,HGH1,33,11
YDR141C,DOP1,33,13
YPL204W,HRR25,33,15
YPL004C,LSP1,33,17
YJL153C,INO1,33,19
YML016C,PPZ1,33,21
YEL051W,VMA8,33,23
YHR003C,TCD1,33,25
YER136W,GDI1,33,27
YGR082W,TOM20,33,29
Border,Border,33,31
Border,Border,35,1
YDL092W,SRP14,35,3
YGR238C,KEL2,35,5
YDR166C,SEC5,35,7
YHL007C,STE20,35,9
YOR316C,COT1,35,11
YGR020C,VMA7,35,13
YPR079W,MRL1,35,15
YDR352W,YPQ2,35,17
YDL199C,YDL199C,35,19
YLL048C,YBT1,35,21
YGR163W,GTR2,35,23
YDL123W,SNA4,35,25
YDR284C,DPP1,35,27
YPR036W,VMA13,35,29
Border,Border,35,31
Border,Border,37,1
YIL047C,SYG1,37,3
YHR175W,CTR2,37,5
YOR270C,VPH1,37,7
YBR213W,MET8,37,9
YFR040W,SAP155,37,11
YBR243C,ALG7,37,13
YGL078C,DBP3,37,15
YML007W,YAP1,37,17
YBR222C,PCS60,37,19
YLR370C,ARC18,37,21
YDR129C,SAC6,37,23
YOR181W,LAS17,37,25
YNR035C,ARC35,37,27
YJL020C,BBC1,37,29
Border,Border,37,31
Border,Border,39,1
YMR109W,MYO5,39,3
YER090W,TRP2,39,5
YOR327C,SNC2,39,7
YGR037C,ACB1,39,9
YNL138W,SRV2,39,11
YDR388W,RVS167,39,13
YNL020C,ARK1,39,15
YIL143C,SSL2,39,17
YIL034C,CAP2,39,19
YIL095W,PRK1,39,21
YLR337C,VRP1,39,23
YLR154C-G,YLR154C-G,39,25
YLR154C-G,YLR154C-G,39,27
YPL198W,RPL7B,39,29
Border,Border,39,31
Border,Border,41,1
YCR009C,RVS161,41,3
YNL106C,INP52,41,5
YDL029W,ARP2,41,7
YKL013C,ARC19,41,9
YHR059W,FYV4,41,11
YPL087W,YDC1,41,13
YMR300C,ADE4,41,15
YGR081C,SLX9,41,17
YJR131W,MNS1,41,19
YGR014W,MSB2,41,21
YLR154C-G,YLR154C-G,41,23
YLR154C-G,YLR154C-G,41,25
YPL198W,RPL7B,41,27
YPL198W,RPL7B,41,29
Border,Border,41,31
Border,Border,43,1
YKL037W,AIM26,43,3
YJR108W,ABM1,43,5
YBR256C,RIB5,43,7
YGL099W,LSG1,43,9
YIR026C,YVH1,43,11
YMR139W,RIM11,43,13
YDR101C,ARX1,43,15
YKR048C,NAP1,43,17
YBR288C,APM3,43,19
YJL030W,MAD2,43,21
YLR154C-G,YLR154C-G,43,23
YPL198W,RPL7B,43,25
Empty,Empty,43,27
Empty,Empty,43,29
Border,Border,43,31
Border,Border,45,1
YJL092W,SRS2,45,3
YOL077C,BRX1,45,5
YHR156C,LIN1,45,7
YHR154W,RTT107,45,9
YPL055C,LGE1,45,11
YLR134W,PDC5,45,13
YGL262W,YGL262W,45,15
YDL008W,APC11,45,17
YFR025C,HIS2,45,19
YKR101W,SIR1,45,21
YPL198W,RPL7B,45,23
YPL198W,RPL7B,45,25
Empty,Empty,45,27
Empty,Empty,45,29
Border,Border,45,31
Border,Border,47,1
Border,Border,47,3
Border,Border,47,5
Border,Border,47,7
Border,Border,47,9
Border,Border,47,11
Border,Border,47,13
Border,Border,47,15
Border,Border,47,17
Border,Border,47,19
Border,Border,47,21
Border,Border,47,23
Border,Border,47,25
Border,Border,47,27
Border,Border,47,29
Border,Border,47,31
Border,Border,2,1
Border,Border,2,3
Border,Border,2,5
Border,Border,2,7
Border,Border,2,9
Border,Border,2,11
Border,Border,2,13
Border,Border,2,15
Border,Border,2,17
Border,Border,2,19
Border,Border,2,21
Border,Border,2,23
Border,Border,2,25
Border,Border,2,27
Border,Border,2,29
Border,Border,2,31
Border,Border,4,1
YGL133W,ITC1,4,3
YPR179C,HDA3,4,5
YGL014W,PUF4,4,7
YGL178W,MPT5,4,9
YIR001C,SGN1,4,11
YDR293C,SSD1,4,13
YNL255C,GIS2,4,15
YKL054C,DEF1,4,17
YDL055C,PSA1,4,19
YDL160C,DHH1,4,21
YNR051C,BRE5,4,23
YCL039W,GID7,4,25
YCR092C,MSH3,4,27
YDL198C,GGC1,4,29
Border,Border,4,31
Border,Border,6,1
YDL197C,ASF2,6,3
