Miniarray.Gene,Protein.Removed
YFR009W,1
YFR012W,1
YFR022W,1
YFR030W,1
YFR053C,1
YFR057W,1
YGL007C-A,1
YGL009C,1
YGL026C,1
YGL037C,1
YGL062W,1
YGL105W,1
YGL148W,1
YGL173C,1
YGL234W,1
YGL245W,1
YGL253W,1
YGR019W,1
YGR026W,1
YGR086C,1
YGR124W,1
YGR162W,1
YGR167W,1
YGR185C,1
YGR192C,1
YGR204W,1
YGR208W,1
YGR209C,1
YGR240C,1
YGR264C,1
YGR285C,1
YHL034C,1
YHR018C,1
YHR039C-A,1
YHR064C,1
YHR087W,1
YHR112C,1
YHR127W,1
YHR137W,1
YHR174W,1
YHR183W,1
YHR193C,1
YIL041W,1
YIL053W,1
YIL055C,1
YIL074C,1
YIL076W,1
YIL116W,1
YJL080C,1
YJL088W,1
YJL123C,1
YJL138C,1
YJR009C,1
YJR014W,1
YJR059W,1
YJR073C,1
YJR095W,1
YJR104C,1
YJR105W,1
YJR109C,1
YJR137C,1
YJR139C,1
YJR148W,1
YKL001C,1
YKL007W,1
YKL056C,1
YKL081W,1
YKL152C,1
YKL154W,1
YKL182W,1
YKL220C,1
YKR046C,1
YKR052C,1
YKR059W,1
YKR061W,1
YLL018C,1
YLL024C,1
YLL026W,1
YLL036C,1
YLR044C,1
YLR058C,1
YLR060W,1
YLR109W,1
YLR175W,1
YLR180W,1
YLR192C,1
YLR222C,1
YLR249W,1
YLR259C,1
YLR285W,1
YLR303W,1
YML008C,1
YML022W,1
YML028W,1
YML052W,1
YML070W,1
YML100W,1
YMR023C,1
YMR031C,1
YMR071C,1
YMR092C,1
YMR116C,1
YMR146C,1
YMR155W,1
YMR186W,1
YMR205C,1
YMR226C,1
YMR235C,1
YMR246W,1
YMR304W,1
YMR309C,1
YMR314W,1
YMR315W,1
YNL015W,1
YNL044W,1
YNL104C,1
YNL134C,1
YNL135C,1
YNL142W,1
YNL200C,1
YNL209W,1
YNL220W,1
YNL231C,1
YNL241C,1
YNL277W,1
YNR016C,1
YNR043W,1
YNR050C,1
YNR076W,1
YOL058W,1
YOL064C,1
YOL109W,1
YOL111C,1
YOL139C,1
YOL143C,1
YOL151W,1
YOL164W,1
YOR007C,1
YOR138C,1
YOR168W,1
YOR184W,1
YOR198C,1
YOR209C,1
YOR230W,1
YOR239W,1
YOR260W,1
YOR310C,1
YOR335C,1
YOR361C,1
YPL028W,1
YPL037C,1
YPL048W,1
YPL061W,1
YPL106C,1
YPL110C,1
YPL160W,1
YPL226W,1
YPL231W,1
YPL237W,1
YPL240C,1
YPL260W,1
YPR036W-A,1
YPR041W,1
YPR069C,1
YPR074C,1
YPR080W,1
YPR081C,1
YPR088C,1
YPR145W,1
YPR160W,1
YPR163C,1
YPR167C,1
YPR194C,1
YBR118W,1
