,PPI_partner.Gene,PPI_partner.ORF,Ortholog.Species,State,PPI.NA,Ortholog.GeneA,Ortholog.GeneB,Ortholog.GeneAnc,PPI.Ortholog.GeneA,PPI.Ortholog.GeneB,PPI.Ortholog.Anc,PPI.A_div_B,PPI.Scer,PPI.Vehicle,MaxPPI,AvePPI,RelPPI,RelPPIMax
332,YGR055W,MUP1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,4986,12096,NA,0.412202381,5212.25,3817.75,12096,8541,1.638639743,2.320686843
676,YGR130C,YGR130C,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,512,4166.25,NA,0.122892289,4443.5,4247,4166.25,2339.125,0.526414988,0.937605491
677,YGR130C,YGR130C,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,5371.5,2892,NA,1.857365145,4443.5,4247,5371.5,4131.75,0.929841341,1.208844379
678,YGR130C,YGR130C,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,3354.75,3615,NA,0.928008299,4443.5,4247,3615,3484.875,0.784263531,0.813547879
679,YLR257W,YLR257W,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,20828,14175.5,NA,1.469295616,5488.75,2584.5,20828,17501.75,3.18865862,3.794670918
680,YLR257W,YLR257W,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,4514,16798.75,NA,0.26871047,5488.75,2584.5,16798.75,10656.375,1.941493965,3.060578456
681,YLR257W,YLR257W,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,3840,7592.25,NA,0.505778919,5488.75,2584.5,7592.25,5716.125,1.041425643,1.383238442
145,YPR105C,COG4,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,4946,313,NA,15.80191693,4737.75,3275.5,4946,2629.5,0.55501029,1.043955464
683,YLR257W,YLR257W,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4228.75,23360,NA,0.181025257,5488.75,2584.5,23360,13794.375,2.513208836,4.255978137
684,YLR257W,YLR257W,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,8907.75,3646.5,NA,2.442821884,5488.75,2584.5,8907.75,6277.125,1.143634707,1.622910499
685,YKL067W,YNK1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,5131,7079,NA,0.72481989,7170.5,3763.25,7079,6105,0.851405062,0.987239384
686,YKL067W,YNK1,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,354.25,8210.25,NA,0.043147285,7170.5,3763.25,8210.25,4282.25,0.597203821,1.145003835
687,YKL067W,YNK1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5605,5745.5,NA,0.97554608,7170.5,3763.25,5745.5,5675.25,0.791472003,0.801269089
688,YKL067W,YNK1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,3839.25,4287.5,NA,0.895451895,7170.5,3763.25,4287.5,4063.375,0.566679451,0.597935988
354,YMR080C,NAM7,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,4057.5,11323,NA,0.358341429,5288,3887.25,11323,7690.25,1.454283283,2.141263238
690,YKL067W,YNK1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,6610.5,2183.25,NA,3.02782549,7170.5,3763.25,6610.5,4396.875,0.613189457,0.921902238
691,YNL247W,YNL247W,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3906,5522.5,NA,0.707288366,3365.75,2641,5522.5,4714.25,1.400653643,1.640793285
692,YNL247W,YNL247W,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4096.5,5027,NA,0.814899542,3365.75,2641,5027,4561.75,1.355344277,1.493574983
693,YNL247W,YNL247W,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,8488.25,1791,NA,4.739391401,3365.75,2641,8488.25,5139.625,1.527037065,2.521949046
694,YNL247W,YNL247W,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,3857.25,5262.5,NA,0.732969121,3365.75,2641,5262.5,4559.875,1.354787195,1.563544529
300,YFR024C-A,LSB3,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,4021,8633.5,NA,0.465743905,4705.5,62.5,8633.5,6327.25,1.344649878,1.834767825
696,YNL247W,YNL247W,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,4072,68.5,NA,59.44525547,3365.75,2641,4072,2070.25,0.615093218,1.209834361
