,PPI_partner.Gene,PPI_partner.ORF,Ortholog.Species,State,PPI.NA,Ortholog.GeneA,Ortholog.GeneB,Ortholog.GeneAnc,PPI.Ortholog.GeneA,PPI.Ortholog.GeneB,PPI.Ortholog.Anc,PPI.A_div_B,PPI.Scer,PPI.Vehicle,MaxPPI,AvePPI,RelPPI,RelPPIMax
60,YER036C,ARB1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,26297.75,3487.75,NA,7.540032973,6346.25,4291.5,26297.75,14892.75,2.346700808,4.143825094
61,YER036C,ARB1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4457.25,20020.25,NA,0.22263708,6346.25,4291.5,20020.25,12238.75,1.928501083,3.154658263
62,YER036C,ARB1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,7218.5,7344.5,NA,0.982844305,6346.25,4291.5,7344.5,7281.5,1.147370494,1.157297617
63,YIL062C,ARC15,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,24904,52055.25,NA,0.478414761,26575,5235.25,52055.25,38479.625,1.447963311,1.958805268
64,YIL062C,ARC15,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3960.5,47960.75,NA,0.082577941,26575,5235.25,47960.75,25960.625,0.976881468,1.804731891
65,YIL062C,ARC15,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,4066,29127,NA,0.139595564,26575,5235.25,29127,16596.5,0.624515522,1.096030103
66,YIL062C,ARC15,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,62.5,52015.75,NA,0.001201559,26575,5235.25,52015.75,26039.125,0.979835372,1.957318909
67,YIL062C,ARC15,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,50826.75,9424,NA,5.393330857,26575,5235.25,50826.75,30125.375,1.133598307,1.912577611
68,YIL062C,ARC15,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,27323,6483.25,NA,4.214398643,26575,5235.25,27323,16903.125,0.636053622,1.028146754
69,YIL062C,ARC15,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,61101.75,35995.5,NA,1.697483019,26575,5235.25,61101.75,48548.625,1.826853246,2.299219191
329,YKR080W,MTD1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,60585.25,36314.25,NA,1.668360217,20063.75,NA,60585.25,48449.75,2.414790356,3.019637406
71,YLR370C,ARC18,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,19448.25,3403.5,NA,5.714191274,7167.25,3321.5,19448.25,11425.875,1.594178381,2.713488437
72,YLR370C,ARC18,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,9421.5,40857.25,NA,0.230595549,7167.25,3321.5,40857.25,25139.375,3.50753427,5.70054763
73,YLR370C,ARC18,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,3686.5,43579.5,NA,0.084592526,7167.25,3321.5,43579.5,23633,3.297359517,6.080365552
74,YLR370C,ARC18,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,1440,37642,NA,0.038255141,7167.25,3321.5,37642,19541,2.726429244,5.251944609
75,YLR370C,ARC18,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,42663.75,659.5,NA,64.69105383,7167.25,3321.5,42663.75,21661.625,3.022306324,5.952596882
76,YNR035C,ARC35,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,8046.5,22254.25,NA,0.361571385,3946,NA,22254.25,15150.375,3.839426001,5.639698429
77,YNR035C,ARC35,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,2214.5,30454.5,NA,0.072715034,3946,NA,30454.5,16334.5,4.139508363,7.717815509
449,YPL198W,RPL7B,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,60077.59375,65374.86458,NA,0.918970833,15744.83333,468.125,65374.86458,62726.22917,3.983924622,4.152147134
79,YBR234C,ARC40,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,64460,22898.75,NA,2.815000819,50727.75,5616.25,64460,43679.375,0.861054847,1.27070489
647,YEL051W,VMA8,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,54648,44468.25,NA,1.228921759,18534,1823.25,54648,49558.125,2.673903367,2.948527031
81,YBR234C,ARC40,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,86745.25,42196.25,NA,2.055757324,50727.75,5616.25,86745.25,64470.75,1.270916806,1.710015721
82,YBR234C,ARC40,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,1317.25,79299,NA,0.01661118,50727.75,5616.25,79299,40308.125,0.794597139,1.563227228
83,YBR234C,ARC40,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,39590.5,80414.25,NA,0.492331894,50727.75,5616.25,80414.25,60002.375,1.182831389,1.585212236
84,YBR234C,ARC40,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,2017.25,63317,NA,0.031859532,50727.75,5616.25,63317,32667.125,0.643969524,1.248172844
85,YBR234C,ARC40,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,2081.25,92483.5,NA,0.022504014,50727.75,5616.25,92483.5,47282.375,0.93208106,1.823134281
24,YMR300C,ADE4,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,54318.75,17897.25,NA,3.035033315,5494,NA,54318.75,36108,6.572260648,9.886922097
87,YJL060W,BNA3,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4680.5,24183,NA,0.193545052,8367.5,2312.75,24183,14431.75,1.724738572,2.890110547
88,YJL060W,BNA3,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,18572.25,13371.5,NA,1.388942901,8367.5,2312.75,18572.25,15971.875,1.908798924,2.219569764
89,YJL060W,BNA3,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,1,6445.75,NA,0.000155141,8367.5,2312.75,6445.75,3223.375,0.385225575,0.77033164
90,YJL060W,BNA3,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,4352.25,18531.5,NA,0.234856865,8367.5,2312.75,18531.5,11441.875,1.367418584,2.214699731
91,YJL060W,BNA3,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,2284.5,13626.25,NA,0.167654344,8367.5,2312.75,13626.25,7955.375,0.950746938,1.62847326
92,YJL060W,BNA3,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,10135.75,1896.25,NA,5.345154911,8367.5,2312.75,10135.75,6016,0.718972214,1.211323573
93,YKL088W,CAB3,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,6213.5,6941.5,NA,0.895123532,7616,5548.75,6941.5,6577.5,0.863642332,0.91143645
94,YKL088W,CAB3,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,6723.25,3052.25,NA,2.202719305,7616,5548.75,6723.25,4887.75,0.641773897,0.882779674
70,YLR370C,ARC18,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,52570.25,15675,NA,3.353763955,7167.25,3321.5,52570.25,34122.625,4.760908996,7.334786703
96,YKL088W,CAB3,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,6096,5852,NA,1.041695147,7616,5548.75,6096,5974,0.784401261,0.800420168
97,YKL088W,CAB3,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5665.5,7456.5,NA,0.75980688,7616,5548.75,7456.5,6561,0.86147584,0.979057248
98,YKL088W,CAB3,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,2382.5,2862.25,NA,0.832387108,7616,5548.75,2862.25,2622.375,0.344324449,0.375820641
99,YIL034C,CAP2,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,1488.25,2108.5,NA,0.705833531,4574,332.5,2108.5,1798.375,0.393173371,0.460975077
100,YIL034C,CAP2,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,4573,5408.5,NA,0.845520939,4574,332.5,5408.5,4990.75,1.091112812,1.18244425
101,YIL034C,CAP2,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,8896.75,3293.5,NA,2.701305602,4574,332.5,8896.75,6095.125,1.332559029,1.945069961
472,YDR129C,SAC6,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,44650.75,17046.75,NA,2.619311599,8982.75,NA,44650.75,30848.75,3.434221146,4.970721661
103,YPL111W,CAR1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,3802,15693,NA,0.242273625,5178,NA,15693,9747.5,1.882483584,3.030706837
104,YPL111W,CAR1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,6687.5,22916.25,NA,0.291823488,5178,NA,22916.25,14801.875,2.858608536,4.425695249
105,YPL111W,CAR1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,14809.75,4250.5,NA,3.484237149,5178,NA,14809.75,9530.125,1.84050309,2.860129394
325,YLR332W,MID2,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,44409.5,36945.75,NA,1.202019177,8972.5,4430,44409.5,40677.625,4.533588743,4.949512399
107,YJR076C,CDC11,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,5155.25,6767.25,NA,0.761793934,5459.75,743.75,6767.25,5961.25,1.091854023,1.23947983
108,YJR076C,CDC11,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,3075.25,8267.25,NA,0.3719798,5459.75,743.75,8267.25,5671.25,1.038738037,1.514217684
109,YJR076C,CDC11,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,2631.5,4740.5,NA,0.55511022,5459.75,743.75,4740.5,3686,0.675122487,0.868263199
110,YJR076C,CDC11,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,7712,4144,NA,1.861003861,5459.75,743.75,7712,5928,1.085764,1.412518888
111,YJR076C,CDC11,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,5138,3325.5,NA,1.545030822,5459.75,743.75,5138,4231.75,0.775081277,0.94106873
112,YJR076C,CDC11,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,4581.5,8166.75,NA,0.560994276,5459.75,743.75,8166.75,6374.125,1.167475617,1.495810248
113,YGL206C,CHC1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5506,77549.5,NA,0.070999813,26085,6250,77549.5,41527.75,1.592016485,2.972953805
114,YGL206C,CHC1,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,4183,69509.25,NA,0.060179041,26085,6250,69509.25,36846.125,1.412540732,2.664721104
115,YGL206C,CHC1,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,4096,49111,NA,0.083402904,26085,6250,49111,26603.5,1.019877324,1.882729538
116,YGL206C,CHC1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,46111.75,10620.75,NA,4.341666078,26085,6250,46111.75,28366.25,1.087454476,1.767749665
117,YGL206C,CHC1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,31907.75,63238.75,NA,0.5045601,26085,6250,63238.75,47573.25,1.823778033,2.424333908
118,YGL206C,CHC1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,66864.5,7740.25,NA,8.638545267,26085,6250,66864.5,37302.375,1.430031627,2.563331417
78,YNR035C,ARC35,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,42865,6263,NA,6.844164139,3946,NA,42865,24564,6.225038013,10.86289914
271,YML058W-A,HUG1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,41478.25,30133.25,NA,1.376494404,16121.25,6563.75,41478.25,35805.75,2.221028146,2.572892921
121,YOL016C,CMK2,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3159,5519.5,NA,0.572334451,5187.5,4161,5519.5,4339.25,0.836481928,1.064
122,YOL016C,CMK2,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,2837.75,4744.5,NA,0.598113605,5187.5,4161,4744.5,3791.125,0.730819277,0.91460241
123,YOL016C,CMK2,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,6055.25,4534,NA,1.335520512,5187.5,4161,6055.25,5294.625,1.020650602,1.167277108
124,YOL016C,CMK2,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,5312.5,1726.5,NA,3.077034463,5187.5,4161,5312.5,3519.5,0.678457831,1.024096386
125,YOL016C,CMK2,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,5106.25,5632.75,NA,0.906528783,5187.5,4161,5632.75,5369.5,1.035084337,1.085831325
126,YOL016C,CMK2,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,4256,5664,NA,0.751412429,5187.5,4161,5664,4960,0.956144578,1.091855422
127,YGL223C,COG1,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,2189.75,13394.75,NA,0.163478228,4517.5,130.5,13394.75,7792.25,1.724903154,2.965080243
128,YGL223C,COG1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4687.75,2727.75,NA,1.718540922,4517.5,130.5,4687.75,3707.75,0.820752629,1.037686774
204,YNL084C,END3,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,41273.5,3859.25,NA,10.69469457,6148,1158.5,41273.5,22566.375,3.670522934,6.713321405
130,YGL223C,COG1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,4742,4128.75,NA,1.148531638,4517.5,130.5,4742,4435.375,0.981820697,1.049695628
131,YGL223C,COG1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,4950,3130.5,NA,1.581217058,4517.5,130.5,4950,4040.25,0.894355285,1.095738794
132,YGL223C,COG1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,4964.25,4377,NA,1.134167238,4517.5,130.5,4964.25,4670.625,1.03389596,1.098893193
133,YGL223C,COG1,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,564.5,11656.75,NA,0.048426877,4517.5,130.5,11656.75,6110.625,1.352656336,2.580354178
134,YER157W,COG3,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3332.25,25837,NA,0.128972017,7790.25,2547.75,25837,14584.625,1.872163923,3.316581624
135,YER157W,COG3,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,15950,4651.75,NA,3.428817112,7790.25,2547.75,15950,10300.875,1.322277847,2.047431084
606,YLR420W,URA4,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,41016,8485.75,NA,4.83351501,6503.5,3075,41016,24750.875,3.805777658,6.3067579
137,YER157W,COG3,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,11498,1,NA,11498,7790.25,2547.75,11498,5749.5,0.738037932,1.475947498
138,YER157W,COG3,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,4117.5,17595.75,NA,0.234005371,7790.25,2547.75,17595.75,10856.625,1.393617021,2.258688746
139,YER157W,COG3,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,6196.5,16098.5,NA,0.384911638,7790.25,2547.75,16098.5,11147.5,1.430955361,2.066493373
140,YER157W,COG3,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,742,23288.75,NA,0.031860877,7790.25,2547.75,23288.75,12015.375,1.542360643,2.989474022
141,YPR105C,COG4,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,3667,2650.5,NA,1.383512545,4737.75,3275.5,3667,3158.75,0.666719434,0.773996095
142,YPR105C,COG4,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,3754.25,3427.5,NA,1.095331875,4737.75,3275.5,3754.25,3590.875,0.757928342,0.79241201
143,YPR105C,COG4,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,386,14523.25,NA,0.026578073,4737.75,3275.5,14523.25,7454.625,1.573452588,3.065431903
144,YPR105C,COG4,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,373,11223.75,NA,0.033233099,4737.75,3275.5,11223.75,5798.375,1.223866814,2.369004274
520,YGR229C,SMI1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,40660.75,30185.25,NA,1.347040359,5997.5,6797,40660.75,35423,5.906294289,6.779616507
146,YPR105C,COG4,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,4511.25,1,NA,4511.25,4737.75,3275.5,4511.25,2256.125,0.476201784,0.952192496
147,YPR105C,COG4,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,1529.5,1622.25,NA,0.942826321,4737.75,3275.5,1622.25,1575.875,0.33262097,0.342409372
148,YNL041C,COG6,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,9502.5,19814.5,NA,0.47957304,8317.25,1581.25,19814.5,14658.5,1.762421473,2.382337912
149,YNL041C,COG6,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,17821.75,5002.25,NA,3.562746764,8317.25,1581.25,17821.75,11412,1.37208813,2.142745499
150,YNL041C,COG6,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,2235.5,23299.25,NA,0.095947294,8317.25,1581.25,23299.25,12767.375,1.535047642,2.801316541
28,YGR061C,ADE6,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,39575.25,20111,NA,1.967840983,13216.5,4892.25,39575.25,29843.125,2.258020278,2.994382022
152,YNL041C,COG6,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,3958.5,19836.75,NA,0.199553858,8317.25,1581.25,19836.75,11897.625,1.430475818,2.385013075
153,YNL041C,COG6,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,12659.25,2321.25,NA,5.453634895,8317.25,1581.25,12659.25,7490.25,0.900568096,1.522047552
154,YNL041C,COG6,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3917,24944.5,NA,0.157028603,8317.25,1581.25,24944.5,14430.75,1.735038625,2.999128318
552,YDR293C,SSD1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,38583.25,28548.75,NA,1.351486492,36312.75,3721.5,38583.25,33566,0.924358524,1.062526248
156,YOR042W,CUE5,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,20245.25,50231.25,NA,0.403040936,3703,524,50231.25,35238.25,9.516135566,13.56501485
157,YOR042W,CUE5,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,4933,15914.5,NA,0.309968896,3703,524,15914.5,10423.75,2.81494734,4.297731569
158,YOR042W,CUE5,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,2058,9785,NA,0.210321921,3703,524,9785,5921.5,1.599108831,2.642452066
159,YOR042W,CUE5,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,183.5,3114,NA,0.058927425,3703,524,3114,1648.75,0.445247097,0.840939779
160,YOR042W,CUE5,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3614.5,15583,NA,0.231951486,3703,524,15583,9598.75,2.592155009,4.20820956
161,YOR042W,CUE5,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,6587.25,5593.5,NA,1.177661571,3703,524,6587.25,6090.375,1.644713746,1.77889549
162,YNL118C,DCP2,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,3998.5,5240.5,NA,0.762999714,28709.25,5976,5240.5,4619.5,0.160906328,0.182536987
163,YNL118C,DCP2,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,2327,6707,NA,0.346950947,28709.25,5976,6707,4517,0.15733605,0.233618085
236,YER020W,GPA2,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,38476.75,21984.75,NA,1.750156358,12760.5,5092.5,38476.75,30230.75,2.369088202,3.015301125
165,YNL118C,DCP2,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5271.5,15174,NA,0.347403453,28709.25,5976,15174,10222.75,0.356078616,0.528540453
166,YNL118C,DCP2,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,5345.25,8180.5,NA,0.653413606,28709.25,5976,8180.5,6762.875,0.235564322,0.284943006
167,YNL118C,DCP2,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,5847.5,3495.25,NA,1.672984765,28709.25,5976,5847.5,4671.375,0.162713237,0.203679999
168,YNL118C,DCP2,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,6332,4403.25,NA,1.438028729,28709.25,5976,6332,5367.625,0.186965003,0.220556093
663,YLR337C,VRP1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,38424.25,4603.5,NA,8.34674704,5001.75,658.5,38424.25,21513.875,4.301269556,7.682161244
170,YMR173W,DDR48,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,3885.5,11589,NA,0.33527483,8831.25,5433,11589,7737.25,0.876121727,1.312271762
171,YMR173W,DDR48,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,4159.5,7397,NA,0.562322563,8831.25,5433,7397,5778.25,0.654295824,0.837593772
172,YMR173W,DDR48,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,5621.5,11420.75,NA,0.492218112,8831.25,5433,11420.75,8521.125,0.964883227,1.293220099
173,YMR173W,DDR48,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,4819.75,5811.5,NA,0.829346984,8831.25,5433,5811.5,5315.625,0.601910828,0.658060863
174,YMR173W,DDR48,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,11454,3535,NA,3.240169731,8831.25,5433,11454,7494.5,0.848634112,1.296985138
402,YMR105C,PGM2,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,37118.25,8863,NA,4.188000677,8689.25,NA,37118.25,22990.625,2.645869897,4.271743821
176,YKL054C,DEF1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,5354,6299,NA,0.849976187,6651.25,4915.5,6299,5826.5,0.876000752,0.94704003
177,YKL054C,DEF1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,8695.25,5303.25,NA,1.639607788,6651.25,4915.5,8695.25,6999.25,1.052320992,1.307310656
178,YKL054C,DEF1,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,4113.5,9828.5,NA,0.418527751,6651.25,4915.5,9828.5,6971,1.04807367,1.477692163
179,YKL054C,DEF1,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,3472.5,3951.75,NA,0.878724616,6651.25,4915.5,3951.75,3712.125,0.558109378,0.594136441
180,YKL054C,DEF1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5234.25,8027.25,NA,0.65206017,6651.25,4915.5,8027.25,6630.75,0.996917873,1.206878406
181,YKL054C,DEF1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,5310.75,4121,NA,1.288704198,6651.25,4915.5,5310.75,4715.875,0.709020861,0.798458936
182,YDR068W,DOS2,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3634,18930.75,NA,0.191962812,8460.5,5507,18930.75,11282.375,1.333535252,2.237545062
183,YDR068W,DOS2,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,7869,4853.25,NA,1.62138773,8460.5,5507,7869,6361.125,0.751861592,0.930086874
184,YDR068W,DOS2,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,2366.75,7388.25,NA,0.320339729,8460.5,5507,7388.25,4877.5,0.576502571,0.873263991
185,YDR068W,DOS2,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,5358,14930.25,NA,0.35886874,8460.5,5507,14930.25,10144.125,1.198998286,1.764700668
186,YDR068W,DOS2,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,11769.75,8008,NA,1.469749001,8460.5,5507,11769.75,9888.875,1.168828674,1.391141186
187,YDR068W,DOS2,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,6076.5,13301.5,NA,0.456828177,8460.5,5507,13301.5,9689,1.145204184,1.572188405
601,YIL138C,TPM2,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,34355.5,13346,NA,2.574216994,7038.5,4762,34355.5,23850.75,3.388612631,4.881082617
189,YFR044C,DUG1,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,5182.5,11536.5,NA,0.449226368,8662,4714,11536.5,8359.5,0.965077349,1.331851766
413,YDR032C,PST2,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,32716.5,9538.75,NA,3.42985192,9325,4715,32716.5,21127.625,2.265697051,3.50847185
191,YFR044C,DUG1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,7752,6104.5,NA,1.269882873,8662,4714,7752,6928.25,0.799844147,0.894943431
192,YFR044C,DUG1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,13113.75,9638.75,NA,1.360523927,8662,4714,13113.75,11376.25,1.31335142,1.513940199
193,YFR044C,DUG1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,6380,15274.25,NA,0.41769645,8662,4714,15274.25,10827.125,1.249956707,1.763362965
194,YFR044C,DUG1,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,3363,5343.75,NA,0.629333333,8662,4714,5343.75,4353.375,0.502583122,0.616918725
195,YFR044C,DUG1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5510.75,12449.75,NA,0.44263941,8662,4714,12449.75,8980.25,1.036740937,1.437283537
196,YDR385W,EFT2,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,527,16346,NA,0.032240303,6138,4778,16346,8436.5,1.374470512,2.663082437
197,YDR385W,EFT2,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5084,18925,NA,0.268639366,6138,4778,18925,12004.5,1.955767351,3.083251874
198,YDR385W,EFT2,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,18560,12646.25,NA,1.467628744,6138,4778,18560,15603.125,2.542053601,3.02378625
199,YDR385W,EFT2,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,2352,3531.75,NA,0.665958802,6138,4778,3531.75,2941.875,0.479288856,0.575391007
200,YDR385W,EFT2,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4704.5,18819,NA,0.249986716,6138,4778,18819,11761.75,1.916218638,3.065982405
201,YDR385W,EFT2,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,6174.75,4987,NA,1.23816924,6138,4778,6174.75,5580.875,0.909233464,1.005987292
36,YDR226W,ADK1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,31275.25,11289,NA,2.770418106,3903.5,2208.5,31275.25,21282.125,5.452062252,8.012104522
203,YNL084C,END3,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,20893,4476.5,NA,4.66726237,6148,1158.5,20893,12684.75,2.063231945,3.398340924
591,YML072C,TCB3,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,31109,5611.75,NA,5.543547022,6699.75,5852,31109,18360.375,2.740456733,4.643307586
205,YNL084C,END3,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,10873.5,3692,NA,2.945151679,6148,1158.5,10873.5,7282.75,1.184572219,1.768623943
206,YNL084C,END3,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,10753,22303,NA,0.482132449,6148,1158.5,22303,16528,2.688353936,3.6276838
207,YNL084C,END3,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,1592,10595.5,NA,0.150252466,6148,1158.5,10595.5,6093.75,0.991175992,1.723405986
208,YNL084C,END3,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,1292.5,23976.25,NA,0.053907513,6148,1158.5,23976.25,12634.375,2.055038224,3.899845478
209,YNL084C,END3,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,4184.25,23825.5,NA,0.175620659,6148,1158.5,23825.5,14004.875,2.277956246,3.875325309
210,YHR007C,ERG11,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,9427.5,4670.25,NA,2.018628553,6614,3754,9427.5,7048.875,1.06575068,1.425385546
211,YHR007C,ERG11,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5287.5,9538.75,NA,0.554317914,6614,3754,9538.75,7413.125,1.120823254,1.442205927
