"ArrayGene","QueryGene","Sample_Plate","Row1536","Col1536","Dox","YPD","CompScore"
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,3,12,36397.5,50923.5,0.714748593478453
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,5,42,45925.5,55288.5,0.8306519438943
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,9,8,39557.5,46737,0.846385091041359
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,9,36,49946,59090,0.845253003892368
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,13,36,48350.5,54320.5,0.890096740641194
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,17,28,44254,54854,0.806759762278047
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,19,32,46330,55667,0.832270465446315
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,19,40,46378,55696,0.832698937087044
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,21,20,42868,55027.5,0.77902866748444
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,23,40,46013,54724,0.840819384547913
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0A02040)",2,29,26,43360,57882,0.749110258802391
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,4,11,42548,46239,0.920175609334112
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,6,41,46630,51067,0.91311414416355
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,10,7,43725.5,47260,0.925211595429539
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,10,35,48353.5,51204,0.944330521053043
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,14,35,50661,52875,0.958127659574468
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,18,27,47166.5,49577,0.951378663493152
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,20,31,48348.5,51288.5,0.942677208341051
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,20,39,49410,52531,0.940587462641107
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,22,19,46531,51835.5,0.897666657020768
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,24,39,48646.5,51702.5,0.940892606740486
"C.glabrata (CAGL0H03553g)","T.blattae (TBLA0B05310)",3,30,25,47604.5,54314,0.876468313878558
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,4,11,44365,50637.5,0.876129350777586
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,6,41,47605,51817,0.918713935580987
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,10,7,43848,51773,0.846927935410349
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,10,35,48817.5,52230.5,0.934655038722585
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,14,35,51143.5,54747,0.934179041773978
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,18,27,47411,48142.5,0.98480552526354
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,20,31,47831,50415,0.948745413071507
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,20,39,49254.5,52898.5,0.931113358601851
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,22,19,48527.5,50781.5,0.955613756978427
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,24,39,48386.5,51317,0.942894167624764
"C.glabrata (CAGL0H03553g)","T.delbrueckii (TDEL0E05230)",6,30,25,46665,53330.5,0.875015235184369
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,4,11,43270,47634.5,0.908375232237139
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,6,41,47339.5,49340.5,0.959445080613289
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,10,7,43135.5,45259.5,0.953070626056408
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,10,35,49724,48436.5,1.02658119393433
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,14,35,50428,51351.5,0.982016104690223
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,18,27,45623,47995,0.950578185227628
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,20,31,45197.5,50910.5,0.887783463136288
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,20,39,46045,51258.5,0.898290039700733
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,22,19,45494.5,47157,0.964745424857391
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,24,39,46186,50244.5,0.919224989799879
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0E02830)",10,30,25,45593.5,52376,0.87050366580113
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,4,11,42521,51029,0.833271277116933
