"","ID","Description","GeneRatio","BgRatio","pvalue","T.blattae.B","qvalue","geneID","Count"
"GO:0030427","GO:0030427","site of polarized growth","15/67","272/5283",9.89978381758203e-07,1.04654857500153e-05,7.29457754979728e-06,"CAR1/END3/LAS17/MID2/MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SSD1/SYP1/TPM2/VRP1",15
"GO:0005933","GO:0005933","cellular bud","12/67","250/5283",5.67430848008698e-05,0.000559865103368582,0.000390233144595455,"MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SSD1/SYP1/TCB3/TPM2/VRP1",12
"GO:0005935","GO:0005935","cellular bud neck","9/67","199/5283",0.000817975758449541,0.00756627576565826,0.00527379107421415,"PAN1/SHS1/SLA1/SLA2/SMI1/SSD1/SYP1/TPM2/VRP1",9
"GO:0030660","GO:0030660","Golgi-associated vesicle membrane","3/67","18/5283",0.0013884490683738,0.0119339003924822,0.00831808135464623,"CHC1/RET2/SEC26",3
"GO:0045121","GO:0045121","membrane raft","4/67","40/5283",0.00153205478011596,0.0119339003924822,0.00831808135464623,"PST2/RFS1/VAC8/VMA8",4
"GO:0098857","GO:0098857","membrane microdomain","4/67","40/5283",0.00153205478011596,0.0119339003924822,0.00831808135464623,"PST2/RFS1/VAC8/VMA8",4
"GO:0000932","GO:0000932","P-body","4/67","51/5283",0.00377413299012195,0.0279285841269025,0.0194665806858922,"DCP2/LSM3/LSM6/SSD1",4
"GO:0031982","GO:0031982","vesicle","10/67","302/5283",0.00434482793701471,0.0306206921275322,0.0213430144274407,"CHC1/END3/MYO3/MYO5/PAN1/RET2/SEC26/SLA1/SLA2/SYP1",10
"GO:0005688","GO:0005688","U6 snRNP","2/67","10/5283",0.00667753289370564,0.0437585214727778,0.0305002496751937,"LSM3/LSM6",2
"GO:0030120","GO:0030120","vesicle coat","3/67","31/5283",0.00680031076941818,0.0437585214727778,0.0305002496751937,"CHC1/RET2/SEC26",3
"GO:0005884","GO:0005884","actin filament","2/67","11/5283",0.00809494303168275,0.0479220627475619,0.0334022912465225,"SAC6/TPM2",2
"GO:0030663","GO:0030663","COPI-coated vesicle membrane","2/67","11/5283",0.00809494303168275,0.0479220627475619,0.0334022912465225,"RET2/SEC26",2
