Genus,Species,Taxonomy_ID,Assay,Genome,Genome.Accession,Protein,Protein.Accession
Saccharomyces,Saccharomyces norbensis,190979,,No,,No,
Saccharomyces,Saccharomyces paradoxus,27291,,Yes,GCA_002079055.1_ASM207905v1_genomic.fna,Yes,GCA_002079055.1_ASM207905v1_protein.faa
Saccharomyces,Saccharomyces pastorianus,27292,,Yes,GCA_011022315.1_ASM1102231v1_genomic.fna,Yes,GCA_011022315.1_ASM1102231v1_protein.faa
Saccharomyces,Saccharomyces uvarum,230603,Yes,Yes,GCA_947243795.1_Suva-ZP964_genomic.fna,Yes,GCA_947243795.1_Suva-ZP964_protein.faa
Naumovozyma,Naumovozyma baii,1209964,,No,,No,
Naumovozyma,Naumovozyma castellii,27288,??,Yes,GCA_000237345.1_ASM23734v1_genomic.fna,Yes,GCA_000237345.1_ASM23734v1_protein.faa
Naumovozyma,Naumovozyma dairenensis,27289,Yes,Yes,GCA_000227115.2_ASM22711v2_genomic.fna,Yes,GCA_000227115.2_ASM22711v2_protein.faa
Nakaseomyces,Nakaseomyces bacillisporus,51660,,Yes,GCA_001046975.1_ASM104697v1_genomic.fna,No,
Nakaseomyces,Nakaseomyces bracarensis,273131,,Yes,GCA_001077315.1_ASM107731v1_genomic.fna,No,
Nakaseomyces,Nakaseomyces castellii,51914,??,Yes,GCA_001046935.1_ASM104693v1_genomic.fna,No,
Nakaseomyces,Nakaseomyces delphensis,51657,,Yes,GCA_001039675.1_AGH_PRJEB150_V1_genomic.fna,No,
Nakaseomyces,Nakaseomyces glabratus,5478,,Yes,GCA_000002545.2_ASM254v2_genomic.fna,Yes,GCA_000002545.2_ASM254v2_protein.faa
Nakaseomyces,Nakaseomyces cf. glabratus,2953079,,No,,No,
Nakaseomyces,Nakaseomyces cf. glabratus PT1-21,444776,,No,,No,
Nakaseomyces,Nakaseomyces kungkrabaensis,644822,,No,,No,
Nakaseomyces,Nakaseomyces nivariensis,418086,,Yes,GCA_017309295.1_JHU_Cniv_v1_genomic.fna,No,
Nakaseomyces,Nakaseomyces uthaithaninus ,1040648,,No,,No,
Lachancea,Lachancea cidri,29831,,Yes,GCA_947297695.1_2875_Lachancea_cidri_genomic.fna,No,
Lachancea,Lachancea dasiensis,1072105,,Yes,GCA_900074725.1_LADA0_genomic.fna,Yes,GCA_900074725.1_LADA0_protein.faa
Lachancea,Lachancea fermentati,4955,,Yes,GCA_900074765.1_LAFE0_genomic.fna,Yes,GCA_900074765.1_LAFE0_protein.faa
Lachancea,Lachancea kluyveri,4934,,Yes,GCA_000149225.2_ASM14922v2_genomic.fna,No,
Lachancea,Lachancea lanzarotensis,1245769,,Yes,GCA_000938715.1_LALA0_genomic.fna,Yes,GCA_000938715.1_LALA0_protein.faa
Lachancea,Lachancea meyersii,300276,,Yes,GCA_900074715.1_LAME0_genomic.fna,Yes,GCA_900074715.1_LAME0_protein.faa
Lachancea,Lachancea mirantina,1230905,,Yes,GCA_900074745.1_LAMI0_genomic.fna,Yes,GCA_900074745.1_LAMI0_protein.faa
Lachancea,Lachancea nothofagi,679534,,Yes,GCA_900074755.1_LANO0_genomic.fna,Yes,GCA_900074755.1_LANO0_protein.faa
Lachancea,Lachancea quebecensis,1654605,,Yes,GCA_002900925.1_ASM290092v1_genomic.fna,Yes,GCA_002900925.1_ASM290092v1_protein.faa
Lachancea,Lachancea thermotolerans,381046,,Yes,GCA_000142805.1_ASM14280v1_genomic.fna,Yes,GCA_000142805.1_ASM14280v1_protein.faa
Lachancea,Lachancea waltii,4914,,Yes,GCA_000167115.1_ASM16711v1_genomic.fna,No,
Kluyveromyces,Kluyveromyces aestuarii,33165,,Yes,GCA_003707555.1_ASM370755v1_genomic.fna,No,
Kluyveromyces,Kluyveromyces dobzhanskii,51656,,Yes,GCA_003705805.2_ASM370580v2_genomic.fna,No,
Kluyveromyces,Kluyveromyces hubeiensis,237925,,No,,No,
Kluyveromyces,Kluyveromyces lactis,28985,,Yes,GCA_000002515.1_ASM251v1_genomic.fna,Yes,GCA_000002515.1_ASM251v1_protein.faa
Kluyveromyces,Kluyveromyces marxianus,4911,,Yes,GCA_001417885.1_Kmar_1.0_genomic.fna,Yes,GCA_001417885.1_Kmar_1.0_protein.faa
Kluyveromyces,Kluyveromyces cf. marxianus TO77.2,1487576,,No,,No,
Kluyveromyces,Kluyveromyces nonfermentans,74104,,Yes,GCA_003670155.1_ASM367015v1_genomic.fna,No,
Kluyveromyces,Kluyveromyces siamensis,452579,,No,,No,
